                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
08;08;08;01801;01801;X0801801;ARTIGOS DE JARDINAGEM (PLANTA, TERRA, SEMENTE, XAXIM, ETC.);;
08;08;08;01802;01802;X0801802;PLANTAS NATURAIS;;
08;08;08;01803;01803;X0801803;TERRA VEGETAL;;
08;08;08;01804;01804;X0801804;SEMENTES;;
08;08;08;01805;01805;X0801805;XAXIM;;
08;08;08;01806;01806;X0801806;VASO PARA PLANTA;;
08;08;08;01807;01807;X0801807;SUPORTE DE VASO;;
08;08;08;01808;01808;X0801808;MUDAS;;
08;08;08;01809;01809;X0801809;PINHEIRO (MUDA);;
08;08;08;01901;01901;X0801901;ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO;;
08;08;08;01902;01902;X0801902;FRETE DE MATERIAL DE CONSTRUCAO;;
08;08;08;01903;01903;X0801903;ALUGUEL DE CACAMBA PARA RETIRAR ENTULHOS;;
08;08;08;01904;01904;X0801904;RETIRADA DE ENTULHO;;
08;08;08;01905;01905;X0801905;CARRETO DE MATERIAL DE CONSTRUCAO;;
08;08;08;01906;01906;X0801906;ALUGUEL DE MATERIAL DE CONSTRUCAO;;
08;08;08;01907;01907;X0801907;ALUGUEL DE MAQUINAS;;
08;08;08;02001;02001;X0802001;CAIXA DE CORREIO;;
08;08;08;02002;02002;X0802002;CAIXA DE CORRESPONDENCIA;;
08;08;08;02101;02101;X0802101;LAJE PRE-MOLDADA;;
08;08;08;02201;02201;X0802201;AREIA, TERRA, BARRO, SAIBRO, ETC.;;
08;08;08;02202;02202;X0802202;ARENOSO;;
08;08;08;02203;02203;X0802203;BARRO;;
08;08;08;02204;02204;X0802204;SAIBRO;;
08;08;08;02205;02205;X0802205;CAULIM;;
08;08;08;02206;02206;X0802206;TERRA;;
08;08;08;02207;02207;X0802207;ATERRO;;
08;08;08;02208;02208;X0802208;CASCALHO;;
08;08;08;02301;02301;X0802301;PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.);;
08;08;08;02302;02302;X0802302;PEDRA BRITADA;;
08;08;08;02303;02303;X0802303;BRITA;;
08;08;08;02304;02304;X0802304;PO DE PEDRA;;
08;08;08;02305;02305;X0802305;PEDRA MARROADA;;
08;08;08;02306;02306;X0802306;PEDRA DE ALICERCE;;
08;08;08;02307;02307;X0802307;ASFALTO;;
08;08;08;02401;02401;X0802401;PORTAO;;
08;08;08;02402;02402;X0802402;PORTAO DE FERRO;;
08;08;08;02403;02403;X0802403;PORTAO ELETRONICO;;
08;08;08;02404;02404;X0802404;PORTAO DE MADEIRA;;
08;08;08;02501;02501;X0802501;INPS DE OBRA;;
08;08;08;02601;02601;X0802601;BASCULANTE;;
08;08;08;02701;02701;X0802701;COLA (EXCETO DUREPOX);;
08;08;08;02702;02702;X0802702;COLA DE MADEIRA;;
08;08;08;02703;02703;X0802703;COLA SUPER BOND;;
08;08;08;02704;02704;X0802704;SUPER BOND;;
08;08;08;02705;02705;X0802705;COLA DE SAPATEIRO;;
08;08;08;02801;02801;X0802801;ARGAMASSA;;
08;08;08;02802;02802;X0802802;REJUNTE;;
08;08;08;02901;02901;X0802901;TELHAS (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.);;
08;08;08;02902;02902;X0802902;TELHA DE BARRO;;
08;08;08;02903;02903;X0802903;TELHA DE AMIANTO;;
08;08;08;02904;02904;X0802904;TELHA DE FIBRA;;
08;08;08;02905;02905;X0802905;TELHA DE ALUMINIO;;
08;08;08;03001;03001;X0803001;SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL;;
08;08;08;03002;03002;X0803002;PARAPEITO DE JANELA DE QUALQUER MATERIAL;;
08;08;08;03101;03101;X0803101;PEDRA MARMORE PARA PIA;;
08;08;08;03102;03102;X0803102;MARMORE (PEDRA) PARA PIA;;
08;08;08;03103;03103;X0803103;BALCAO DE MARMORE PARA PIA;;
08;08;08;03104;03104;X0803104;BALCAO DE PIA;;
08;08;08;03105;03105;X0803105;BALCAO DE COZINHA;;
08;08;08;03106;03106;X0803106;GRANITO (PEDRA) PARA PIA;;
08;08;08;03107;03107;X0803107;BALCAO DE GRANITO PARA PIA;;
08;08;08;03108;03108;X0803108;BALCAO;;
08;08;08;03109;03109;X0803109;PIA DE COZINHA;;
08;08;08;03201;03201;X0803201;CAIXA DE AGUA DE QUALQUER MATERIAL;;
08;08;08;03202;03202;X0803202;TAMPA DE CAIXA DE AGUA;;
08;08;08;03203;03203;X0803203;CAIXA DE AGUA;;
08;08;08;03301;03301;X0803301;GRADE DE FERRO;;
08;08;08;03401;03401;X0803401;BLOCO DE CIMENTO;;
08;08;08;03402;03402;X0803402;BLOCKET (BLOCO DE CIMENTO);;
08;08;08;03501;03501;X0803501;BOX DE BANHEIRO DE QUALQUER MATERIAL;;
08;08;08;03601;03601;X0803601;TANQUE DE QUALQUER MATERIAL;;
08;08;08;03701;03701;X0803701;PORTAL;;
08;08;08;03801;03801;X0803801;CAIXA DE LUZ (PADRAO);;
08;08;08;03901;03901;X0803901;CAIXA DE DESCARGA;;
08;08;08;04001;04001;X0804001;GESSO;;
08;08;08;04101;04101;X0804101;ESPELHO DE BANHEIRO;;
08;08;08;04201;04201;X0804201;MANILHA;;
08;08;08;04301;04301;X0804301;PLACA, ANEL, VIGA, PALANQUE, ETC. DE CIMENTO OU CONCRETO;;
08;08;08;04302;04302;X0804302;ANEL DE CIMENTO OU CONCRETO;;
08;08;08;04303;04303;X0804303;VIGA DE CIMENTO OU CONCRETO;;
08;08;08;04304;04304;X0804304;PALANQUE DE CIMENTO OU CONCRETO;;
08;08;08;04305;04305;X0804305;PLACA DE CIMENTO OU CONCRETO;;
08;08;08;04401;04401;X0804401;CAIXA DE REGISTRO DE AGUA;;
08;08;08;04501;04501;X0804501;MATERIAL PLASTICO PARA COBERTURA;;
08;08;08;04502;04502;X0804502;TOLDO PLASTICO;;
